"zip_code","Population","MedianIncome","city","state","latitude","longitude"
92278,4156,59728,"Twentynine Palms","CA",34.360235,-116.20964
92280,15,0,"Vidal","CA",34.143497,-114.62411
92281,1960,32054,"Westmorland","CA",33.037061,-115.6194
92282,783,34063,"White Water","CA",33.941487,-116.64506
92283,2334,29511,"Winterhaven","CA",32.786759,-114.62591
92284,25045,42517,"Yucca Valley","CA",34.161795,-116.41246
92285,2731,29362,"Landers","CA",34.31039,-116.45012
92301,32667,34537,"Adelanto","CA",34.641695,-117.50803
92304,17,0,"Amboy","CA",34.548138,-115.65796
92305,321,62109,"Angelus Oaks","CA",34.172474,-116.87593
92307,38204,57124,"Apple Valley","CA",34.538622,-117.17729
92308,39953,43345,"Apple Valley","CA",34.447959,-117.19222
92309,916,36838,"Baker","CA",35.27295,-116.06504
92310,9191,49928,"Fort Irwin","CA",35.262763,-116.69452
92311,32831,45889,"Barstow","CA",34.894181,-117.03636
92313,12252,64140,"Grand Terrace","CA",34.030714,-117.31174
92314,10572,46518,"Big Bear City","CA",34.255388,-116.85442
92315,5236,41202,"Big Bear Lake","CA",34.241295,-116.90328
92316,31720,48788,"Bloomington","CA",34.064062,-117.39432
92320,8097,42212,"Calimesa","CA",33.984551,-117.03767
92321,1244,64612,"Cedar Glen","CA",34.254199,-117.17563
92322,911,37188,"Cedarpines Park","CA",34.839964,-115.967051
92324,58013,41278,"Colton","CA",34.061931,-117.31995
92325,8318,47394,"Crestline","CA",34.242567,-117.28654
92327,1202,35603,"Daggett","CA",34.866837,-116.86379
92328,281,34750,"Death Valley","CA",35.945641,-117.20296
92332,7,0,"Essex","CA",35.00224,-115.23936
92333,640,38229,"Fawnskin","CA",34.268344,-116.93842
92335,99580,43092,"Fontana","CA",34.088911,-117.45213
92336,91510,87425,"Fontana","CA",34.125147,-117.45818
92337,37844,69966,"Fontana","CA",34.046992,-117.481
92338,0,0,"Ludlow","CA",34.720285,-116.1982
92339,997,45147,"Forest Falls","CA",34.087114,-116.923
92341,294,14848,"Green Valley Lake","CA",34.241477,-117.07449
92342,6303,66775,"Helendale","CA",34.761696,-117.33444
92345,81049,42323,"Hesperia","CA",34.399992,-117.33999
92346,58845,59995,"Highland","CA",34.12716,-117.20073
92347,1554,69702,"Hinkley","CA",34.956205,-117.21994
92352,6783,72479,"Lake Arrowhead","CA",34.25629,-117.19132
92354,21555,63871,"Loma Linda","CA",34.050764,-117.25327
92356,6293,33582,"Lucerne Valley","CA",34.481229,-116.90601
92358,1127,71000,"Lytle Creek","CA",34.229288,-117.52082
92359,8298,53807,"Mentone","CA",34.083512,-117.09688
92363,5355,32710,"Needles","CA",34.808718,-114.62664
92364,30,102500,"Nipton","CA",35.46019,-115.49467
92365,1953,55169,"Newberry Springs","CA",34.896333,-116.63644
92368,1064,33125,"Oro Grande","CA",34.634147,-117.30614
92371,14729,50744,"Phelan","CA",34.453465,-117.53392
92372,5929,43036,"Pinon Hills","CA",34.44654,-117.63411
92373,34017,63948,"Redlands","CA",34.034714,-117.17305
92374,40911,66590,"Redlands","CA",34.063264,-117.16888
92376,85647,44965,"Rialto","CA",34.109511,-117.37617
92377,19750,80130,"Rialto","CA",34.151243,-117.39873
92378,166,68636,"Rimforest","CA",34.839964,-115.967051
92382,5161,66875,"Running Springs","CA",34.205626,-117.10499
92384,34,80729,"Shoshone","CA",35.947562,-116.27037
92385,269,100380,"Skyforest","CA",34.839964,-115.967051
92386,1949,34783,"Sugarloaf","CA",34.244448,-116.82962
92389,115,12000,"Tecopa","CA",35.848556,-116.22627
